account_number,aba,bic,opened,balance
CBXD44669851029839,102317138,RWWEGBRO0T5,2009-06-04,285769
GMHS11683964344077,082341703,TIDCGB2I,2014-06-26,591000
GCQT83212037197512,107809939,HGMJGB9AIFY,2006-08-07,1631126
TDDI73474064461675,046709967,VQEAGBT2HP7,2001-03-20,1977359
HDVG29919274654139,069217423,BQCSGBADD0Z,2014-11-05,208204
DMEN65505178934400,120139110,NUHEGBWNX7L,2021-07-07,184395
KXLH90993787165076,071745417,CZRCGBTK,2000-04-19,1967629
XDWY88201787387643,116289061,HRJKGBRC,2021-12-10,1049033
YNAT25944629054573,127963376,BJHOGB7J,2002-08-20,1077542
LVBV56931015142686,115517776,SUFWGBLJ9CT,2002-05-30,84604
JTJP82086161818631,116150734,SLZMGBON,2021-07-28,1800407
QAKP81095312810530,089543795,DIAMGB5IUCG,2014-10-19,1344960
RVRQ93266205810068,123500445,EUYNGB2MZD8,2011-10-07,1713534
ASNL73668408067073,096044397,WQHUGBM5,2016-05-06,1056268
JBFJ55650700031898,017962623,HLRWGB966R0,2013-05-27,1285934
KJPL12062422090951,080110240,TRSDGB6W,2016-07-10,123571
THPS13364414213323,067273061,HYDOGB1CMDO,2000-03-15,159683
YVTC73124609296578,018834543,MQSJGBEQ7GO,2006-10-30,1011178
PRVU83555451278797,025999374,BHDBGBHN,2014-03-19,437990
IJFV28078052462510,066665188,EUTOGBP4M9N,2015-01-19,1106330
XJIL70140016044154,053528254,OJPBGB1M,2009-11-01,1462535
AJZK36350775937374,068847933,ETIPGBDR96A,2021-08-01,313884
RUKT40610370446273,040975726,EHJRGB6JYLQ,2013-07-24,220491
CVJE07889459964731,025197312,NHGRGBB4WP3,2018-06-19,1854016
RYXL67741861657195,030605213,NUGPGB7PY4Q,2004-12-27,1972606
CMGD94377251011829,119760406,SYJZGB2Q,2003-01-12,1030436
EXVQ74599902728028,067527322,YBCAGBBL1MJ,2009-04-05,1976518
PAIK54920609778789,120858103,NWPKGB46QNR,2017-11-15,1411811
ZHVK78868654044408,080387455,LUAAGBC7PW4,2003-10-01,1010316
ADXN31617478872084,020855811,SZBRGBM4,2009-09-24,307844
DPHR63219557838875,086708931,GNFJGBWVJFK,2017-01-16,1903899
FAQG98167610311047,101337300,WOFWGB18,2013-01-15,1437992
IMII03201977672688,061628531,LDUKGB53,2006-08-02,534971
VUTF35174441431635,020826235,VQWEGBB0VJX,2007-10-17,921081
EBCZ91153636137757,037850126,LPOYGBGTPF1,2005-03-29,909506
XIMK24788664821099,043633366,XSHYGBPM,2018-03-06,1006726
ONVS87746026948459,104415821,QLURGBZA,2016-01-22,1937336
RLAE74024039037347,109545204,YMNZGBJ8,2004-09-27,1782965
LVTS11346028705721,064699787,ORRMGB8U,2014-08-15,90761
CWPG02147442153887,098954032,VLUXGBWZ,2002-03-19,344770
PLAI34554537206944,068568021,NZSAGB3I9XE,2012-05-20,1258455
GFZL55651153605758,013435578,GNFKGBY1JT2,2020-06-16,858502
QCKN79623713529675,068978158,CQLHGB0XHUZ,2011-11-20,1339962
DROD29925832798603,055005843,KRXTGBYV16L,2000-09-15,404522
VFJC72734315016002,120408472,SWXGGBGEXKN,2009-06-17,273488
UTPI36564177144218,127779078,ZXBFGBDH,2001-06-15,696603
KQMM38769917521903,100163041,KHBXGBAB,2008-09-02,1202551
HWVG43869515870767,122471546,NAVUGBUE,2018-11-13,1039871
PUWF06641326501271,119869417,PQLHGBD8,2008-04-22,1799653
YYCE51105855917074,026000123,CMUZGBED,2007-08-24,1932590
JUAU76007450660889,124373590,JJAWGBB1,2016-11-08,587042
SWTA59259479595645,024848112,VLLIGBB6,2006-02-25,711713
TIWY72819051589231,101390680,JFLCGB1C,2006-12-11,1248317
SBTL24365453688473,092975004,DQVLGBKJXIS,2009-10-31,1837552
HXGL40511062984144,127476452,YPAFGBRK,2007-03-07,1471898
GVOZ53464253041025,114644857,LGPNGB97,2009-02-16,1303319
FJGW31075863656072,062315199,MDZLGBGH,2021-10-30,1432712
YYKT60132414702061,052074262,JQISGBZP,2001-01-16,158658
HNZP37542999486518,111004267,BCSVGBKS4DX,2015-11-13,1440861
TJWB89919839502923,128022397,ZKMVGB25D7Y,2007-02-08,1420363
YLRG99022402632187,112772242,KUJJGBDL1AF,2008-08-12,546727
ROLS78086221647535,029980062,QIVOGBJQ,2013-10-17,1258571
UPZY00491096856935,092629402,ZLZQGB75QOH,2017-08-21,1554673
ZGSP99554572282087,083272415,MRSRGBECV59,2010-03-08,1809089
FMLJ56466512952650,103118352,FPKQGBRZR3K,2018-08-01,906860
CLYU93158050783944,033940344,ARWUGB2N,2020-07-09,1614037
ODRI59941662110392,103911258,KOYMGBQU,2013-10-21,978083
FESN03749853122843,029163504,CAUNGBE8,2007-07-30,153312
AXBH25432340362726,024434416,DPLYGB5W729,2003-05-24,374026
DHFD10400357547772,056824735,BVICGBCQ4UQ,2022-05-02,1334735
ZZHV39097663902600,105083867,RBNPGBIQMHF,2014-10-01,1140961
BUCV53589335589664,017337818,CWRTGBBR5VN,2007-05-17,1339283
DSYF81381099887585,035649229,ONNKGB7ZRKY,2021-05-09,1395595
WTDN46473627418729,091928845,JHZGGBO3,2008-12-31,1904912
TAQZ05272707233520,112274928,SODNGBS4,2015-05-12,209696
JOQB92481712622720,085753220,LUYEGBYW,2010-06-04,1774050
MBUY39134999618593,121383062,OQRBGBHB,2018-03-09,1779975
XIJD46252484462793,102695656,UYYVGB9U33G,2019-01-27,660754
EIFS62240616772747,071024303,HDTXGBH7,2009-12-17,590173
HMPP85643772372643,101988584,YEYCGBTNV8V,2022-05-20,1424094
DRQT11693412638607,117135392,WUACGB0WPIE,2007-04-13,1537148
NZEM04265741685297,088110941,FQUXGBOE,2016-04-19,769561
TOSY06827555315394,013689560,JSGWGBL5A6J,2016-08-31,1751781
QJBG57598735642013,026322238,DOFKGB5MVJ6,2001-01-02,376230
TXYF26160084089630,122509816,FPXEGBMD,2011-05-28,1954768
CRUB06016917712755,110462994,GZFZGBGT,2008-05-10,1160136
GFFN65510865795171,044716538,NQWTGB79,2019-05-27,70419
GEJI98536145415639,126895995,PDFHGBK0,2019-11-26,1857500
UNFJ82229500641471,069808803,CZGXGB5J9GI,2008-05-12,411806
GJKC91008419354948,063822885,WNSCGB1L,2012-03-16,1054638
GTLY44185269003795,028126458,KIHFGBOQO62,2011-04-15,1842353
ILEP91031684060732,064023780,DPZHGBKE,2018-03-29,139626
UOSY02528749924373,017778587,QMRWGBBO,2022-01-17,1091508
RXWV43570863990648,125028776,UXCGGBWS,2004-07-28,575471
DMDD01734874565488,037373425,YRNMGBGN,2000-12-02,1916637
MRMW67495038676910,128050961,QQWNGBXB9AR,2001-10-30,637499
XLAV77190106930178,041470288,ZJXAGBXZS03,2020-07-13,1953326
HNFG09731124477592,101120591,HEKHGBM3LEW,2006-07-05,264106
MORO53533924511458,014143238,ASHMGBG6,2021-01-21,795440
GASJ76618293035573,103577359,KDSSGB2LQYQ,2002-11-09,701020
IVBE29211873938259,112896513,ALIZGBPQ4FG,2001-12-14,1596718
CVYZ35794468560031,093109293,VQJKGBFK3WP,2009-10-13,1159370
UVPV05139666557799,098026258,JIKKGBCUJA6,2021-02-12,968064
FIWE04234310820914,019742252,VPJNGBMO,2003-11-27,1645919
BEYP45589779895113,115059658,IJJZGBEMVQH,2006-09-10,1641731
CIOX40236798711040,091067272,EHFFGBF1NZA,2021-12-22,977826
NSDX25758141831172,030489206,GXDJGBV3A1V,2017-02-01,613187
OVCX93045197782280,048738376,LALBGBZO,2018-07-10,1437691
LBVI73340849476154,080502434,UNYMGB4E,2010-04-05,1058658
STFG21458764059326,068971126,SITJGBE2KYT,2003-09-15,1563552
DPGC91023807372852,098386639,SRAIGBKR,2010-03-26,663635
WAHJ08756843970629,090967739,KXZKGBAC,2017-01-03,849013
SNKH17891603301010,080904760,HVHSGBS7GVE,2019-02-08,1437212
VICA55871880500645,021850006,JRRLGBWXO1I,2008-12-03,1051405
RCTW23343966834436,011270586,KRLOGBFZ,2012-11-06,1981968
UUDW36952547884530,102623275,PUJEGBAD,2019-10-31,218313
DKOT04400359231044,048884521,RGIBGBGK,2001-07-21,1243685
QQZT65809472644910,104064955,BQPHGBSK,2022-05-16,928177
GDZO87877069292442,080290872,EHZAGBDWPS1,2009-10-18,688281
IFMS00473304413756,084369932,HAGVGBA2,2000-07-01,1304716
HZZD68480663539518,017109907,UALTGBR3,2002-12-30,295452
JHFQ33232223977427,046980786,WXBSGBAK,2003-12-26,835976
DRXY58596492517047,055035512,QZVHGBGZ,2019-03-28,92578
DEQS68156765590094,046040668,JFVXGBYNRXD,2016-12-27,980901
ONEP17549058349586,129955816,MRHPGBI65Q2,2011-02-28,125293
KJJY95708733709669,063146325,TNZBGB74,2005-05-15,569073
JQQN97954866707082,092414125,OFOEGB083XR,2013-09-12,1026262
ZDHO05034173294299,068668730,UONEGB97OM5,2003-11-01,1454201
VZJG07263177069384,086686590,ECAPGBP5,2008-04-12,949119
CHFL85470208764868,033816410,YJABGB033PZ,2000-08-29,1027964
HFLZ28730090150252,081166565,NKRNGBK2,2012-10-29,500076
HPLP26145454940863,119548628,USNHGBBWLD2,2012-02-14,489046
YZMC03089855455843,098754656,AHXIGBIVJO8,2020-06-02,1832329
ZAGF34504350305027,020316075,HOSZGB0V6T3,2015-02-04,1940974
WXJB27654053917925,037745888,LIUHGBNMSS1,2019-08-06,520201
QKMX11624689863028,057733540,BEXCGBQL,2012-05-01,1174123
MPIU16212435541161,122195893,SIHAGB2Q,2011-04-20,1457121
FIJF66870469091742,068152547,NPXNGB13,2006-02-01,691338
WCLF60646817765302,103505130,WDPWGBC175L,2018-12-22,789995
SEZQ25208350878621,054505069,SCEOGBYA4EN,2000-07-03,1515423
GGNQ17875036719584,116709363,AIVLGBLU,2022-03-15,220331
WLYE50191090198459,040376655,EZOBGBIQR39,2010-11-14,438897
FRBR12128412977132,012157161,NYDGGB4A,2012-01-17,1857949
ODYG41772980862636,069660944,VNZTGBHT,2013-02-19,298432
RBUE05237750254383,054916920,EXUPGBRO,2010-09-07,35094
ZXBM12654838290469,030451962,RPKRGBSMUGD,2012-01-29,1253866
PECU44747944552137,010106486,XBFLGB28,2021-07-21,808295
GKEB40193284913700,112845768,JDUXGBX0,2018-05-15,1249155
XMMX29768579101277,048289605,TDMYGB16VU3,2008-08-10,593142
IGIL18039988208047,076203831,DRCBGB4E,2013-11-29,90551
HVFI88248701103316,033143730,UWVCGB74,2006-01-24,67840
ROEF92413797119850,012906231,YJRYGBDE4PU,2003-02-20,1711548
YFTI42291922310797,128508426,KNNKGB3A,2013-05-09,1249902
YTUU46510464094061,077002853,FUYOGBSU,2021-10-17,1034036
LFAZ19426323862904,122855340,CAZTGB63CUO,2011-10-17,9659
NGNR16644441342878,104717561,MBVAGBN1,2015-08-31,1558260
UDII51797465051421,087092714,BUQFGB8B,2022-01-08,1451411
PQDU76719934629725,049672460,MBSAGBBQHWF,2006-02-20,1067097
WXCZ81180302446402,071502003,FIQUGBNV,2001-02-01,269944
ZRTG52689199462432,047881444,SVCMGBSTO0I,2014-12-11,1267966
CPDO51149089179631,121861856,NPTIGBTT,2005-04-23,864077
HXZO20392948638328,024868901,VZSWGBU3,2009-10-03,638179
WJPV18649336250334,092996355,HXKSGBM1,2011-06-14,284694
RYIZ17897295233560,073386968,ETAOGBRPCLB,2021-06-19,230598
QYRZ03301676251293,090576971,OAAMGBXMZHU,2014-09-12,352844
XBYT37304125118047,061333512,UVXHGB0SHJC,2013-12-21,948840
NXOZ24238271208177,117871931,GIUQGBFD,2016-01-28,266675
EGGO50787128266307,085552557,NXTBGBFB,2001-04-06,78336
UABX70908803983313,082018735,KXZJGB59,2003-04-13,1196418
WICM39371389099276,064644091,UFUVGBXZN5D,2022-02-07,1254469
CCBH02640453039911,025799118,YTKHGB1IZAD,2009-11-09,1305351
UZVP05163782296410,105129938,AGLJGBJGDZB,2017-10-19,1862740
QXET35299144977010,036864391,OQALGB1I,2002-09-10,797290
CGXB20822590247273,121437206,RZBRGBJSIQD,2005-10-13,431355
VBTD58576170779644,123825489,SNFTGB1MTTB,2017-12-20,900439
HEQL82283174491419,126087800,HLWAGBAH,2010-08-02,1349500
EHHD24742321839285,109104700,JSZTGBL1,2004-01-12,552419
FWMO74805672975655,124724893,OFINGBZV1NR,2014-06-29,3178
MDOI49352817306657,075829287,RRAOGBGA,2017-08-26,1613187
IBSO20809653391981,089381148,MHEYGBKH0OU,2012-12-13,927872
RPTP30230148934820,068650573,QDYYGBAX,2017-08-05,571660
QNLB39394158805936,061906428,FKYMGB9Q,2006-08-01,1704344
MEJB54171894922001,055432982,UDNJGB3HPB1,2012-09-12,107341
CUYB94260918971669,101291093,YXVQGBN3,2019-05-17,570334
ZPOV04364756347876,076301607,ROKCGBNCZ42,2013-01-23,519380
RWZW90541795829616,107502809,GDEHGBZH55X,2022-05-13,1031021
GXAE38228596492384,116391933,MBZHGB3Z,2017-01-20,692032
XTNY94446884710944,058451782,HJIMGB82FEH,2018-05-22,305972
QCZL85762534822279,018262348,WUHVGBNDN6K,2014-02-22,1341394
ATJJ98724274077457,113987049,JZQZGBM4,2013-02-24,844690
ITYC66228176524189,083639375,KKUHGBGXT5H,2021-09-26,584722
FDLY29766154252759,089061170,ASABGB3UHKJ,2010-03-21,791717
XURS85659160695643,096480692,HPYMGBO6RF0,2010-05-27,809588
MWTO36199722439283,020923167,BBHGGBRV,2009-01-29,1072324
